title,release_year,imdb_rating,position,pre_position,popularity
The Umbrella Academy,2019,8.0,1,1,NO CHANGE
Lovecraft Country,2020,7.6,2,58,INCREASED
Lucifer,2016,8.2,3,8,INCREASED
Yellowstone,2018,8.5,4,1,DECREASED
Teenage Bounty Hunters,2020,7.7,5,112,INCREASED
Dirty John,2018,7.2,6,76,INCREASED
The Boys,2019,8.7,7,1,DECREASED
Game of Thrones,2011,9.3,8,1,DECREASED
Dark,2017,8.8,9,5,DECREASED
The Legend of Korra,2012,8.4,10,116,INCREASED
Ted Lasso,2020,8.5,11,93,INCREASED
The 100,2014,7.7,12,3,DECREASED
The Office,2005,8.9,13,13,NO CHANGE
Supernatural,2005,8.4,14,2,DECREASED
The Fall,2013,8.2,15,4,DECREASED
Shameless,2011,8.6,16,6,DECREASED
Grey's Anatomy,2005,7.6,17,3,DECREASED
Breaking Bad,2008,9.5,18,3,DECREASED
Perry Mason,2020,7.6,19,17,DECREASED
Criminal Minds,2005,8.1,20,3,DECREASED
Agents of S.H.I.E.L.D.,2013,7.5,21,13,DECREASED
Vikings,2013,8.5,22,4,DECREASED
The Crown,2016,8.7,23,46,INCREASED
Stranger Things,2016,8.8,24,7,DECREASED
Kingdom,2014,8.5,25,1,DECREASED
Schitt's Creek,2015,8.4,26,4,DECREASED
Community,2009,8.5,27,6,DECREASED
The Walking Dead,2010,8.2,28,28,NO CHANGE
Fargo,2014,8.9,29,6,DECREASED
Friends,1994,8.9,30,3,DECREASED
Peaky Blinders,2013,8.8,31,1,DECREASED
Ozark,2017,8.4,32,3,DECREASED
Modern Family,2009,8.4,33,1,DECREASED
Sons of Anarchy,2008,8.6,34,34,NO CHANGE
La Casa de Papel,2017,8.4,35,1,DECREASED
New Girl,2011,7.7,36,2,DECREASED
The Sopranos,1999,9.2,37,3,DECREASED
The Big Bang Theory,2007,8.1,38,1,DECREASED
Suits,2011,8.5,39,2,DECREASED
Euphoria,2019,8.4,40,2,DECREASED
Cursed,2020,5.8,41,21,DECREASED
Avatar: The Last Airbender,2005,9.2,42,13,DECREASED
Brooklyn Nine-Nine,2013,8.4,43,43,NO CHANGE
Outlander,2014,8.4,44,44,NO CHANGE
The Last Kingdom,2015,8.4,45,45,NO CHANGE
Black Mirror,2011,8.8,46,3,DECREASED
Better Call Saul,2015,8.7,47,1,DECREASED
Doom Patrol,2019,8.0,48,22,DECREASED
American Horror Story,2011,8.0,49,1,DECREASED
Good Girls,2018,7.9,50,13,DECREASED
The Mandalorian,2019,8.7,51,6,DECREASED
The Blacklist,2013,8.0,52,2,DECREASED
The Vampire Diaries,2009,7.7,53,3,DECREASED
The Handmaid's Tale,2017,8.5,54,7,DECREASED
NCIS: Naval Criminal Investigative Service,2003,7.8,55,3,DECREASED
Law & Order: Special Victims Unit,1999,8.0,56,5,DECREASED
Line of Duty,2012,8.7,57,7,DECREASED
Succession,2018,8.5,58,8,DECREASED
Lost,2004,8.3,59,59,NO CHANGE
Glee,2009,6.7,60,13,DECREASED
Bandish Bandits,2020,8.7,61,28,DECREASED
Parks and Recreation,2009,8.6,62,62,NO CHANGE
Doctor Who,2005,8.6,63,8,DECREASED
Westworld,2016,8.7,64,4,DECREASED
The Rain,2018,6.3,65,42,DECREASED
How I Met Your Mother,2005,8.3,66,12,DECREASED
Endeavour,2012,8.6,67,4,DECREASED
The Fugitive,2020,5.0,68,57,DECREASED
The Wire,2002,9.3,69,6,DECREASED
Star Trek: The Next Generation,1987,8.6,70,70,NO CHANGE
Hannibal,2013,8.5,71,4,DECREASED
House M.D.,2004,8.7,72,1,DECREASED
Buffy the Vampire Slayer,1997,8.2,73,4,DECREASED
Once Upon a Time,2011,7.7,74,9,DECREASED
Dexter,2006,8.6,75,5,DECREASED
The Witcher,2019,8.2,76,4,DECREASED
How to Get Away with Murder,2014,8.1,77,10,DECREASED
Homeland,2011,8.3,78,1,DECREASED
Gilmore Girls,2000,8.1,79,5,DECREASED
The Alienist,2018,7.7,80,55,DECREASED
3%,2016,7.4,81,162,INCREASED
The Sinner,2017,7.9,82,1,DECREASED
The Flash,2014,7.7,83,12,DECREASED
Selling Sunset,2019,6.1,84,19,DECREASED
Prison Break,2005,8.3,85,6,DECREASED
Warrior Nun,2020,6.9,86,11,DECREASED
Bones,2005,7.8,87,3,DECREASED
Biohackers,2020,6.7,88,1205,INCREASED
True Detective,2014,9.0,89,5,DECREASED
Watchmen,2019,8.1,90,4,DECREASED
Rick and Morty,2013,9.2,91,1,DECREASED
Midsomer Murders,1997,7.7,92,6,DECREASED
Raised by Wolves,2020,NOT RATED,93,88,DECREASED
Sherlock,2010,9.1,94,5,DECREASED
This Is Us,2016,8.7,95,4,DECREASED
Downton Abbey,2010,8.7,96,5,DECREASED
Mad Men,2007,8.6,97,3,DECREASED
Arrow,2012,7.5,98,5,DECREASED
It's Always Sunny in Philadelphia,2005,8.8,99,3,DECREASED
Utopia,2020,NOT RATED,100,707,INCREASED
